"ID","post_title","coords"
55111,"Fietshandel Breuls","50.9805108,5.6919985"
54828,"Oxfam Solidariteit","51.2165526,4.4162332"
54828,"Oxfam Solidariteit","51.043796,3.7243865"
54828,"Oxfam Solidariteit","50.9321267,5.3346272"
54828,"Oxfam Solidariteit","50.8302419,4.3695463"
54828,"Oxfam Solidariteit","50.8303309,3.2635166"
54828,"Oxfam Solidariteit","50.8775045,4.6983805"
54828,"Oxfam Solidariteit","50.8141092,4.3506736"
54828,"Oxfam Solidariteit","51.2062336,4.3965523"
54828,"Oxfam Solidariteit","51.0568001,3.7278218"
54828,"Oxfam Solidariteit","50.8302888,4.369505"
54828,"Oxfam Solidariteit","50.8368413,4.3478864"
54828,"Oxfam Solidariteit","50.8487581,4.3452584"
54828,"Oxfam Solidariteit","51.2223832,4.402359"
54828,"Oxfam Solidariteit","50.86843,4.3361106"
54828,"Oxfam Solidariteit","50.8512933,4.3872294"
54828,"Oxfam Solidariteit","51.2194374,3.2163488"
54828,"Oxfam Solidariteit","50.8354941,4.3792459"
54828,"Oxfam Solidariteit","50.8075739,4.3158077"
54828,"Oxfam Solidariteit","50.9796424,5.4915451"
54828,"Oxfam Solidariteit","51.0571156,3.731182"
54828,"Oxfam Solidariteit","51.3472023,3.2853196"
54828,"Oxfam Solidariteit","51.0239495,4.4783992"
54828,"Oxfam Solidariteit","51.21543,2.928656"
54828,"Oxfam Solidariteit","50.9434327,3.1138278"
54828,"Oxfam Solidariteit","50.8365963,4.3479542"
54828,"Oxfam Solidariteit","50.8734166,4.3766931"
54828,"Oxfam Solidariteit","51.1658697,4.1453187"
54828,"Oxfam Solidariteit","51.1723257,4.3891861"
54828,"Oxfam Solidariteit","50.8525291,4.3457177"
67461,"Theater Tinnenpot","51.0583443,3.7183293"
45070,"het MOT | Museum voor de Oudere Technieken","50.927191,4.3724858"
45070,"het MOT | Museum voor de Oudere Technieken","50.9367098,4.3726397"
45070,"het MOT | Museum voor de Oudere Technieken","50.9377503,4.3798929"
44040,"Bibliotheek Menen","50.7926511,3.1248409"
44040,"Bibliotheek Menen","50.7946628,3.1941556"
44040,"Bibliotheek Menen","50.782807,3.1641132"
44430,"Bibliotheek Sint-Pieters-Leeuw","50.7798,4.24368"
44430,"Bibliotheek Sint-Pieters-Leeuw","50.8047994,4.2856824"
44430,"Bibliotheek Sint-Pieters-Leeuw","50.7862961,4.2959816"
44430,"Bibliotheek Sint-Pieters-Leeuw","50.8083114,4.2312128"
43183,"Château et Jardins de Freÿr","50.2270607,4.8858369"
69187,"Vakantieverblijf Zeewinde 28","51.2472614,2.9634421"
43700,"Choco-Story Brussels","50.8468413,4.351321"
44699,"Vakantieverblijf d’Uyterwaerde","50.9832734,5.7457979"
46388,"Bed & breakfast Amoliv","43.542964,11.4307883"
45318,"[F] Experience Museum","50.7680658,2.7810148"
71449,"La Cité Miroir","50.6426891,5.565837"
45431,"Het Beroepenhuis","51.064375,3.7331196"
45150,"Bezoekerscentrum 'De Watersnip'","51.080179,5.325365"
43541,"Kopies en drukwerk All Printing Services","50.8198428,4.3834094"
43541,"Kopies en drukwerk All Printing Services","50.860311,4.41868"
43541,"Kopies en drukwerk All Printing Services","50.8249954,4.3989178"
43541,"Kopies en drukwerk All Printing Services","51.0433237,3.7253094"
43541,"Kopies en drukwerk All Printing Services","50.8578754,4.3592986"
43541,"Kopies en drukwerk All Printing Services","50.8488161,4.3933222"
43541,"Kopies en drukwerk All Printing Services","50.819724,4.3829522"
43541,"Kopies en drukwerk All Printing Services","50.7960761,4.3247854"
43541,"Kopies en drukwerk All Printing Services","51.2033838,4.4112441"
43541,"Kopies en drukwerk All Printing Services","50.465682,4.862188"
